タイムスタンプ,お名前,興味をもった後輩に名前を教えて良いですか？,メーカー,サービス・インフラ,商 社,ソフトウェア,小売,広告・出版・マスコミ	,金融,官公庁・公社・団体,サイト,本,エージェント,イベント・セミナー,③インターンの経験,①業界,時期,期間,OBOG訪問の経験,人数,使用ツール（複数回答可）,これやって役立った！なこと（複数選択可）,これやっておけば良かった…なこと（複数選択可）,最後に、後輩に向けてアドバイスをお願いします！（特に無い場合は「特になし」）
2020/07/09 8:37:15 午前 GMT+9,100,良い,建設・住宅・インテリア;印刷・事務機器関連,該当なし,専門商社,通信,専門店,放送;出版,該当なし,公社・団体,マイナビ;クリ博ナビ,四季報;「出版社 内定獲得！」「これだけ！教養試験 要点まとめ&一問一答」,マイナビ新卒紹介,クリ博ナビ主催のセミナー,有り,小売;広告・出版・マスコミ,３年秋;３年冬,半日または1day,有り,１〜５人,もともとの知り合い、または知り合いを経由,エージェントの活用;インターン;OBOG訪問;面接対策;自己分析,もっと早くから始めれば良かった;業界・職種を絞らず検討した方が良かった;OGOB訪問すれば良かった;ES添削お願いすれば良かった;もっと面接練習すれば良かった,早く始めるに越したことはないです！そしてまずは誰でも良いので是非、先輩やOBOGに相談してみて下さい🙌
2020/07/12 2:40:52 午後 GMT+9,101,良い,印刷・事務機器関連;スポーツ・玩具・ゲーム,該当なし,該当なし,ソフトウェア;通信,該当なし,出版,該当なし,該当なし,マイナビ;リクナビ;ONE CAREER,利用していない,マイナビ新卒紹介;クリーク&リバー　その他業界毎に,早慶限定のやつ,有り,広告・出版・マスコミ,３年夏;３年冬,半日または1day;3days〜1週間,有り,１〜５人,もともとの知り合い、または知り合いを経由,早めに動き出していたこと;エージェントの活用;SPI・テストセンターなどの勉強;面接対策;自己分析;学生時代の多様な経験,業界・職種を絞った方が良かった;ES添削お願いすれば良かった,自分のやりたいことだけではなく、特性や経験も考えた方が良いでしょう。
2020/07/12 7:18:21 午後 GMT+9,102,良くない,印刷・事務機器関連;スポーツ・玩具・ゲーム,アミューズメント・レジャー,該当なし,ソフトウェア,該当なし,該当なし,該当なし,該当なし,unistyle;ONE CAREER,史上最強SPI&テストセンター,マイナビ新卒紹介,ジョブトラ,有り,メーカー,３年冬,半日または1day;2days,無し,,,学生時代の多様な経験,業界・職種を絞らず検討した方が良かった;OGOB訪問すれば良かった;ES添削お願いすれば良かった;もっと面接練習すれば良かった,周りを頼ることが一番重要！！とにかく頼った方がいいし、積極的に動くべし。
2020/07/18 8:31:45 午後 GMT+9,103,良い,建設・住宅・インテリア,不動産;鉄道・航空・運輸・物流,該当なし,該当なし,該当なし,該当なし,銀行・証券,該当なし,ONE CAREER;就活会議,史上最強SPI&テストセンター,利用していない,学内イベント,有り,サービス・インフラ,３年夏;３年冬,2days;3days〜1週間,無し,,,特になし,もっと早くから始めれば良かった;インターン参加、またはもっと早くから（たくさん）参加すれば良かった;業界・職種を絞らず検討した方が良かった,とくになし
2020/07/18 8:52:10 午後 GMT+9,104,良い,食品・農林・水産,該当なし,該当なし,ソフトウェア;通信,該当なし,該当なし,クレジット,該当なし,マイナビ;ONE CAREER;type就活、ビズリーチキャンパス,四季報;史上最強SPI&テストセンター,type就活,マイナビ就職EXPO,有り,サービス・インフラ;ソフトウェア;金融,３年夏;３年冬,半日または1day;3days〜1週間,有り,６〜１０人,もともとの知り合い、または知り合いを経由;ビズリーチ・キャンパス;会社のOB紹介ページ,早めに動き出していたこと;エージェントの活用;イベント・セミナーの活用;SPI・テストセンターなどの勉強;インターン;OBOG訪問;面接対策;自己分析;学生時代の多様な経験,ES添削お願いすれば良かった,大変な状況での就活でも希望する道へ行けることを応援してます！そしてかえちゃんと西尾っち、後輩のために動いてくれて感謝です！ありがとうー！何か他にも力になれることあったらバンバン言って下さい！！！
2020/07/18 9:30:53 午後 GMT+9,105,良い,スポーツ・玩具・ゲーム,ホテル・旅行;アミューズメント・レジャー,総合商社,該当なし,該当なし,放送;出版;広告,銀行・証券,該当なし,マイナビ;リクナビ;unistyle;ONE CAREER;Open Work;みんなの就職活動;キャリタス就活;クリ博ナビ,就職活動が面白いほどうまくいく確実内定;「テレビ局 内定獲得! 」、「就活でどうしても会いたいテレビ人24 人へのOB・OG訪本」、「販促会議」、「マスコミ就職完全ガイド」、「広告&CM年鑑」、「一般常識&最新時事[一問一答]頻出1500問」,doda新卒エージェント,マイナビ就職EXPO;MeetsCompany;「出会いの場」（えとさんが推してたけど、結局コロナで開催が延期しまくって行けなかった。これに行けばグルワで圧勝らしい）,有り,広告・出版・マスコミ;その他,３年夏;３年冬,半日または1day;3days〜1週間,有り,６〜１０人,もともとの知り合い、または知り合いを経由,早めに動き出していたこと;同期と対策・相談会;インターン;OBOG訪問;学生時代の多様な経験;Twitterで志望業界の人をフォローしとく（何がアツいか、何を考えてるのかを徹底観察）、ES合計100通出したこと（業界絞らなかった、数を打って鍛えた）、中村馨さんのブログ「弱きもの」を読んだ,OGOB訪問すれば良かった;ES添削お願いすれば良かった;もっと面接練習すれば良かった,ESも面接も場数が命〜
2020/07/18 10:57:29 午後 GMT+9,106,良くない,該当なし,該当なし,該当なし,ソフトウェア;インターネット;通信,該当なし,出版,該当なし,該当なし,マイナビ;リクナビ,史上最強SPI&テストセンター,マイナビ新卒紹介,利用していない,有り,広告・出版・マスコミ,３年夏;３年秋,半日または1day,有り,１〜５人,hello visit,エージェントの活用;SPI・テストセンターなどの勉強;学生時代の多様な経験,SPI・テストセンターなどの勉強をもっとしておけば良かった;インターン参加、またはもっと早くから（たくさん）参加すれば良かった;ES添削お願いすれば良かった;もっと面接練習すれば良かった,新卒採用は堂々としてる人が勝つと思います。自己肯定感あげてこ
2020/07/20 12:05:11 午前 GMT+9,107,良い,食品・農林・水産;電子・電気機器,不動産;ホテル・旅行;アミューズメント・レジャー;人材サービス,該当なし,該当なし,該当なし,放送;広告,銀行・証券,該当なし,ONE CAREER;みんなの就職活動,最新！SPI3;速攻！ワザあり　面接&エントリーシート、内定者はこう◯◯した！のシリーズ,リクナビ就職エージェント,ライブ＆エンターテイメントEXPO(なんか企業向けのやつ),無し,,,,有り,１〜５人,もともとの知り合い、または知り合いを経由,OBOG訪問;自己分析;学生時代の多様な経験,もっと早くから始めれば良かった;業界業種の研究を事前にしておくべきだった。最終面接まで進んだ第一志望が採用中止になって路頭に迷った。,結局縁だと思うので、うまくいかなくても気にしないで！って言いたいけど、病むときは病みます。そんな時は開き直って美味しいものでも食べましょう！
2020/07/20 10:43:26 午前 GMT+9,108,良い,印刷・事務機器関連,該当なし,該当なし,情報処理サービス,該当なし,広告,該当なし,該当なし,マイナビ;ONE CAREER;Open Work;外資就活ドットコム,四季報;史上最強SPI&テストセンター,利用していない,したけど良くはなかった,有り,ソフトウェア;小売,３年夏;３年秋;３年冬,半日または1day;2days;3days〜1週間,有り,１〜５人,Matcher,SPI・テストセンターなどの勉強;インターン;OBOG訪問;学生時代の多様な経験,もっと早くから始めれば良かった;SPI・テストセンターなどの勉強をもっとしておけば良かった;インターン参加、またはもっと早くから（たくさん）参加すれば良かった,業界にもよるんだろうけどびっくりするくらいインターン生優遇があって参加しておけばよかったと後悔しました。あと面接の日程は早いほうが有利です。
2020/07/29 7:50:22 午後 GMT+9,109,良い,建設・住宅・インテリア;スポーツ・玩具・ゲーム,不動産;鉄道・航空・運輸・物流;アミューズメント・レジャー,該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,マイナビ;リクナビ;unistyle;ONE CAREER;Open Work;みんなの就職活動;キャリタス就活;offerbox,四季報;史上最強SPI&テストセンター;業界地図,大学のキャリアセンター,学内イベント;マイナビ就職EXPO;ブンナビ、元人事のwebセミナー,有り,メーカー;サービス・インフラ;小売,３年夏;３年秋;３年冬,半日または1day;3days〜1週間,有り,１〜５人,もともとの知り合い、または知り合いを経由;大学のOB・OG訪問システム,早めに動き出していたこと;イベント・セミナーの活用;同期と対策・相談会;SPI・テストセンターなどの勉強;インターン;OBOG訪問;面接対策;自己分析;学生時代の多様な経験;元人事（Twitter、LINE）,もっと早くから始めれば良かった;SPI・テストセンターなどの勉強をもっとしておけば良かった;インターン参加、またはもっと早くから（たくさん）参加すれば良かった;業界・職種を絞らず検討した方が良かった;もっと面接練習すれば良かった,"創像の先輩は本当に素敵な方ばかりです。是非コネクションを使って、沢山OBOG訪問をするといいと思います（私は先輩方の優しさにとても救われました）
後は3年の10月から本選考に参加した経験はとても有益でした。内定辞退でもめる事はあっても、1つ内定をもらってから3月の就活解禁に臨めたことは精神的にとても楽でした。皆さんも辛い時は周りに頼って、最後まで諦めず人との出会いを楽しみながら就職活動行ってください(^^)"
2020/07/29 10:04:08 午後 GMT+9,110,良い,食品・農林・水産;建設・住宅・インテリア;自動車・輸送用機器;スポーツ・玩具・ゲーム,不動産;鉄道・航空・運輸・物流;フードサービス;ホテル・旅行;アミューズメント・レジャー;コンサルティング・調査;人材サービス;教育,総合商社,ソフトウェア;インターネット;通信,百貨店;コンビニ,放送;新聞;広告,銀行・証券;信販・リース;生命・損保,該当なし,マイナビ;リクナビ;ONE CAREER;クリ博ナビ,利用していない,キャリアチケット;キャリアパーク、シンクトワイス、doda新卒エージェント、meetingcompany,マイナビ就職EXPO;リクナビイベント;MeetsCompany;ジョブコミット;あさがく、アクセスフェア,有り,商社;金融,３年冬;４年春,半日または1day;2days,有り,１〜５人,もともとの知り合い、または知り合いを経由,エージェントの活用;イベント・セミナーの活用;学生時代の多様な経験,もっと早くから始めれば良かった;インターン参加、またはもっと早くから（たくさん）参加すれば良かった;もっと面接練習すれば良かった,こころからやりたい仕事がないなら、業界よりも業種からの方が多分絞りやすい、後大手行きたいならインターンとかTOEICとかやる気ある感じないと入るの大変そう
